theta,x,y,doml,pref,normpref
0,1.000000,0.000000,532,50.00,0.002849
5,0.996195,0.087156,530,50.00,0.002849
10,0.984808,0.173648,528,50.00,0.002849
15,0.965926,0.258819,525,50.00,0.002849
20,0.939693,0.342020,522,50.00,0.002849
25,0.906308,0.422618,518,50.00,0.002849
30,0.866025,0.500000,498,50.00,0.002849
35,0.819152,0.573576,474,50.00,0.002849
40,0.766044,0.642788,467,50.00,0.002849
45,0.707107,0.707107,464,50.00,0.002849
50,0.642788,0.766044,460,50.00,0.002849
55,0.573576,0.819152,456,50.00,0.002849
60,0.500000,0.866025,452,50.00,0.002849
65,0.422618,0.906308,449,50.00,0.002849
70,0.342020,0.939693,445,50.00,0.002849
75,0.258819,0.965926,442,50.00,0.002849
80,0.173648,0.984808,439,50.00,0.002849
85,0.087156,0.996195,435,50.00,0.002849
90,0.000000,1.000000,432,50.00,0.002849
95,-0.087156,0.996195,429,50.00,0.002849
100,-0.173648,0.984808,427,50.00,0.002849
105,-0.258819,0.965926,424,50.00,0.002849
110,-0.342020,0.939693,422,50.00,0.002849
115,-0.422618,0.906308,420,50.00,0.002849
120,-0.500000,0.866025,418,50.00,0.002849
125,-0.573576,0.819152,417,50.00,0.002849
130,-0.642788,0.766044,415,50.00,0.002849
135,-0.707107,0.707107,413,50.00,0.002849
140,-0.766044,0.642788,411,50.00,0.002849
145,-0.819152,0.573576,408,50.00,0.002849
150,-0.866025,0.500000,403,50.00,0.002849
155,-0.906308,0.422618,399,50.00,0.002849
160,-0.939693,0.342020,394,50.00,0.002849
165,-0.965926,0.258819,389,50.00,0.002849
170,-0.984808,0.173648,384,50.00,0.002849
175,-0.996195,0.087156,379,50.00,0.002849
180,-1.000000,0.000000,374,50.00,0.002849
185,-0.996195,-0.087156,368,50.00,0.002849
190,-0.984808,-0.173648,361,50.00,0.002849
195,-0.965926,-0.258819,346,50.00,0.002849

335,0.906308,-0.422618,547,50.00,0.002849
340,0.939693,-0.342020,540,50.00,0.002849
345,0.965926,-0.258819,538,50.00,0.002849
350,0.984808,-0.173648,536,50.00,0.002849
355,0.996195,-0.087156,534,50.00,0.002849
0,1.000000,0.000000,532,50.00,0.002849
