theta,x,y,doml,pref,normpref
0,1.000000,0.000000,532,68.40,0.009412
5,0.996195,0.087156,530,60.50,0.008325
10,0.984808,0.173648,528,52.60,0.007238
15,0.965926,0.258819,525,40.75,0.005607
20,0.939693,0.342020,522,28.90,0.003977
25,0.906308,0.422618,518,19.35,0.002663
30,0.866025,0.500000,498,4.55,0.000626
35,0.819152,0.573576,474,5.00,0.000688
40,0.766044,0.642788,467,5.00,0.000688
45,0.707107,0.707107,464,5.00,0.000688
50,0.642788,0.766044,460,5.00,0.000688
55,0.573576,0.819152,456,4.80,0.000660
60,0.500000,0.866025,452,4.60,0.000633
65,0.422618,0.906308,449,4.45,0.000612
70,0.342020,0.939693,445,4.25,0.000585
75,0.258819,0.965926,442,4.10,0.000564
80,0.173648,0.984808,439,4.05,0.000557
85,0.087156,0.996195,435,4.25,0.000585
90,0.000000,1.000000,432,4.40,0.000605
95,-0.087156,0.996195,429,4.55,0.000626
100,-0.173648,0.984808,427,4.65,0.000640
105,-0.258819,0.965926,424,4.80,0.000660
110,-0.342020,0.939693,422,4.90,0.000674
115,-0.422618,0.906308,420,5.00,0.000688
120,-0.500000,0.866025,418,4.60,0.000633
125,-0.573576,0.819152,417,4.40,0.000605
130,-0.642788,0.766044,415,4.00,0.000550
135,-0.707107,0.707107,413,3.60,0.000495
140,-0.766044,0.642788,411,3.20,0.000440
145,-0.819152,0.573576,408,2.60,0.000358
150,-0.866025,0.500000,403,1.60,0.000220
155,-0.906308,0.422618,399,1.15,0.000158
160,-0.939693,0.342020,394,1.90,0.000261
165,-0.965926,0.258819,389,2.65,0.000365
170,-0.984808,0.173648,384,3.40,0.000468
175,-0.996195,0.087156,379,4.40,0.000605
180,-1.000000,0.000000,374,6.40,0.000881
185,-0.996195,-0.087156,368,8.80,0.001211
190,-0.984808,-0.173648,361,11.60,0.001596
195,-0.965926,-0.258819,346,11.30,0.001555

335,0.906308,-0.422618,547,95.10,0.013086
340,0.939693,-0.342020,540,100.00,0.013760
345,0.965926,-0.258819,538,92.10,0.012673
350,0.984808,-0.173648,536,84.20,0.011586
355,0.996195,-0.087156,534,76.30,0.010499
0,1.000000,0.000000,532,68.40,0.009412
